# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Feb  1 19:53:53 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.0001957 -1.90000 10.07918 0.0903137699 1.0846885349    0.090 -3.188  3.4901  5.494    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.87e-17      0.00 7.483e-01 2.515e-01 3.540e-05 9.550e-06 8.661e-05 -1.000 1.968e-04 12.739 17.809 15.774 13.861 12.485 12.038 11.938
0.0001957 -1.90000 10.07918 0.0966959074 1.1428980231    0.097 -2.943  3.5260  5.422    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.97e-17      0.00 7.466e-01 2.532e-01 3.540e-05 9.550e-06 8.662e-05 -1.000 1.968e-04 12.127 16.905 14.585 12.839 11.882 11.520 11.415
0.0001957 -1.90000 10.07918 0.1003081575 1.1736753977    0.100 -2.812  3.5453  5.384    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-16      0.00 7.456e-01 2.542e-01 3.540e-05 9.550e-06 8.662e-05 -1.000 1.968e-04 11.800 16.259 13.959 12.326 11.556 11.232 11.130
0.0001957 -1.90000 10.07918 0.1202969477 1.3212693602    0.120 -2.519  3.5758  5.292    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.48e-16      0.00 7.423e-01 2.575e-01 3.540e-05 9.550e-06 8.662e-05 -1.000 1.969e-04 11.067 14.879 12.791 11.372 10.822 10.550 10.456
0.0001957 -1.90000 10.07918 0.1402857602 1.4399919546    0.140 -2.335  3.5904  5.233    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-16      0.00 7.401e-01 2.597e-01 3.540e-05 9.551e-06 8.662e-05 -1.000 1.969e-04 10.607 14.090 12.146 10.845 10.360 10.110 10.023
0.0001957 -1.90000 10.07918 0.1602745354 1.5385365924    0.160 -2.191  3.5999  5.185    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.17e-16      0.00 7.387e-01 2.611e-01 3.540e-05 9.551e-06 8.662e-05 -1.000 1.968e-04 10.247 13.532 11.675 10.450 9.997 9.762 9.679
0.0001957 -1.90000 10.07918 0.2002521455 1.6947337812    0.200 -1.971  3.6120  5.110    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.36e-16      0.00 7.379e-01 2.619e-01 3.540e-05 9.551e-06 8.662e-05 -1.000 1.969e-04 9.698 12.741 10.993 9.860 9.443 9.225 9.149
0.0001957 -1.90000 10.07918 0.2502241135 1.8408943289    0.250 -1.770  3.6229  5.050    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-15      0.00 7.382e-01 2.616e-01 3.540e-05 9.551e-06 8.662e-05 -1.000 1.968e-04 9.196 12.037 10.379 9.324 8.936 8.735 8.665
0.0001957 -1.90000 10.07918 0.3001961410 1.9533065853    0.300 -1.616  3.6320  5.011    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-15      0.00 7.382e-01 2.616e-01 3.539e-05 9.552e-06 8.662e-05 -1.000 1.969e-04 8.810 11.491 9.905 8.911 8.547 8.359 8.294
0.0001957 -1.90000 10.07918 0.3501680791 2.0436928651    0.350 -1.489  3.6403  4.985    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.22e-15      0.00 7.380e-01 2.618e-01 3.536e-05 9.553e-06 8.662e-05 -1.000 1.969e-04 8.493 11.037 9.511 8.571 8.227 8.051 7.990
