# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Feb  1 19:53:56 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00031003 -1.70000 10.07918 0.0900000036 1.0816895926    0.090 -3.192  3.4816  5.463    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -5e-17      0.00 7.482e-01 2.515e-01 6.177e-05 1.667e-05 1.511e-04 -1.000 3.435e-04 12.750 17.874 16.052 14.108 12.567 12.072 11.972
0.00031003 -1.70000 10.07918 0.0960286483 1.1370490765    0.096 -2.984  3.5118  5.404    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.36e-17      0.00 7.468e-01 2.528e-01 6.177e-05 1.667e-05 1.511e-04 -1.000 3.434e-04 12.231 17.168 14.963 13.153 12.029 11.627 11.520
0.00031003 -1.70000 10.07918 0.1000000015 1.1711064122    0.100 -2.855  3.5306  5.367    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.15e-16      0.00 7.459e-01 2.537e-01 6.177e-05 1.667e-05 1.511e-04 -1.000 3.436e-04 11.907 16.605 14.320 12.611 11.695 11.337 11.232
0.00031003 -1.70000 10.07918 0.1199999973 1.3193154249    0.120 -2.564  3.5616  5.280    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.27e-16      0.00 7.430e-01 2.567e-01 6.177e-05 1.667e-05 1.511e-04 -1.000 3.436e-04 11.181 15.304 13.120 11.600 10.954 10.657 10.558
0.00031003 -1.70000 10.07918 0.1400000006 1.4384526719    0.140 -2.381  3.5766  5.224    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.42e-16      0.00 7.409e-01 2.588e-01 6.177e-05 1.667e-05 1.511e-04 -1.000 3.435e-04 10.723 14.526 12.456 11.042 10.490 10.218 10.125
0.00031003 -1.70000 10.07918 0.1599999964 1.5372931554    0.160 -2.238  3.5865  5.178    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.68e-16      0.00 7.395e-01 2.602e-01 6.177e-05 1.667e-05 1.511e-04 -1.000 3.435e-04 10.365 13.954 11.971 10.633 10.128 9.871 9.782
0.00031003 -1.70000 10.07918 0.2000000179 1.6938791367    0.200 -2.017  3.5991  5.104    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.58e-16      0.00 7.385e-01 2.612e-01 6.177e-05 1.667e-05 1.511e-04 -1.000 3.436e-04 9.812 13.135 11.265 10.027 9.569 9.332 9.249
0.00031003 -1.70000 10.07918 0.2500000000 1.8403257998    0.250 -1.814  3.6102  5.043    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.69e-16      0.00 7.386e-01 2.611e-01 6.176e-05 1.667e-05 1.511e-04 -1.000 3.435e-04 9.306 12.415 10.636 9.480 9.057 8.836 8.759
0.00031003 -1.70000 10.07918 0.3000000417 1.9529140366    0.300 -1.660  3.6190  5.003    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-15      0.00 7.387e-01 2.609e-01 6.175e-05 1.667e-05 1.511e-04 -1.000 3.435e-04 8.919 11.869 10.155 9.063 8.665 8.457 8.385
0.00031003 -1.70000 10.07918 0.3465989530 2.0378077844    0.347 -1.541  3.6263  4.976    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1    -2e-15      0.00 7.386e-01 2.610e-01 6.173e-05 1.667e-05 1.511e-04 -1.000 3.435e-04 8.623 11.448 9.785 8.744 8.366 8.169 8.101
0.00031003 -1.70000 10.07918 0.3499999940 2.0434174644    0.350 -1.533  3.6268  4.975    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-15      0.00 7.386e-01 2.610e-01 6.172e-05 1.667e-05 1.511e-04 -1.000 3.435e-04 8.603 11.419 9.760 8.722 8.346 8.150 8.082
0.00031003 -1.70000 10.07918 0.3588884175 2.0577494462    0.359 -1.508  3.6288  4.968    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-15      0.00 7.408e-01 2.589e-01 6.173e-05 1.667e-05 1.511e-04 -1.000 3.435e-04 8.540 11.323 9.678 8.653 8.281 8.089 8.021
0.00031003 -1.70000 10.07918 0.4000000060 2.1185024399    0.400 -1.398  3.6371  4.939    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.7e-15      0.00 7.503e-01 2.494e-01 6.177e-05 1.667e-05 1.511e-04 -1.000 3.436e-04 8.266 10.913 9.325 8.355 8.004 7.824 7.761
0.00031003 -1.70000 10.07918 0.4500000179 2.1822809362    0.450 -1.233  3.6542  4.892    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.92e-15      0.00 7.506e-01 2.491e-01 6.177e-05 1.667e-05 1.511e-04 -1.000 3.435e-04 7.852 10.231 8.761 7.894 7.586 7.431 7.376
0.00031003 -1.70000 10.07918 0.5000000000 2.2374541529    0.500 -1.047  3.6764  4.842    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.05e-15      0.00 7.506e-01 2.491e-01 6.177e-05 1.667e-05 1.511e-04 -1.000 3.435e-04 7.388 9.414 8.124 7.382 7.123 6.998 6.955
0.00031003 -1.70000 10.07918 0.5500000715 2.2836583126    0.550 -0.837  3.6991  4.764    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.848e-01 2.150e-01 5.382e-05 1.453e-05 1.318e-04 -1.000 2.448e-04 6.863 8.546 7.454 6.822 6.605 6.509 6.479
0.00031003 -1.70000 10.07918 0.6000000238 2.3211213258    0.600 -0.627  3.7258  4.698    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-14      0.00 7.964e-01 2.033e-01 5.129e-05 1.386e-05 1.258e-04 -1.000 2.663e-04 6.338 7.688 6.805 6.279 6.108 6.042 6.026
0.00031003 -1.70000 10.07918 0.6096851230 2.3275658608    0.609 -0.585  3.7317  4.686    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-14      0.00 7.991e-01 2.006e-01 5.071e-05 1.370e-05 1.244e-04 -1.000 2.770e-04 6.232 7.517 6.675 6.172 6.010 5.951 5.937
0.00031003 -1.70000 10.07918 0.6207514405 2.3346471129    0.620 -0.536  3.7384  4.672    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-14      0.00 8.024e-01 1.974e-01 5.003e-05 1.352e-05 1.228e-04 -1.000 2.858e-04 6.109 7.327 6.528 6.050 5.898 5.846 5.836
0.00031003 -1.70000 10.07918 0.6314544082 2.3412250373    0.631 -0.488  3.7448  4.657    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-14      0.00 8.056e-01 1.941e-01 4.934e-05 1.333e-05 1.211e-04 -1.000 2.918e-04 5.990 7.149 6.387 5.932 5.791 5.745 5.738
0.00031003 -1.70000 10.07918 0.6413988471 2.3471110657    0.641 -0.443  3.7506  4.643    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-16      0.00 8.088e-01 1.909e-01 4.867e-05 1.316e-05 1.195e-04 -1.000 2.858e-04 5.879 6.986 6.257 5.824 5.691 5.652 5.646
0.00031003 -1.70000 10.07918 0.6499999762 2.3520353107    0.650 -0.404  3.7556  4.629    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.97e-14      0.00 8.117e-01 1.880e-01 4.807e-05 1.300e-05 1.181e-04 -1.000 2.838e-04 5.781 6.845 6.144 5.729 5.605 5.571 5.568
0.00031003 -1.70000 10.07918 0.6571703553 2.3560273365    0.657 -0.371  3.7594  4.617    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.23e-14      0.00 8.146e-01 1.851e-01 4.744e-05 1.283e-05 1.166e-04 -1.000 2.956e-04 5.699 6.730 6.050 5.650 5.532 5.503 5.501
0.00031003 -1.70000 10.07918 0.6692274809 2.3625187331    0.669 -0.315  3.7658  4.594    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.74e-14      0.00 8.200e-01 1.797e-01 4.633e-05 1.253e-05 1.139e-04 -1.000 2.896e-04 5.558 6.543 5.892 5.516 5.408 5.385 5.386
0.00031003 -1.70000 10.07918 0.6803042293 2.3682496867    0.680 -0.262  3.7716  4.571    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.64e-14      0.00 8.252e-01 1.745e-01 4.525e-05 1.225e-05 1.113e-04 -1.000 2.690e-04 5.426 6.371 5.746 5.390 5.291 5.273 5.276
0.00031003 -1.70000 10.07918 0.6908658743 2.3735177720    0.691 -0.210  3.7770  4.547    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -2.19e-14      0.00 8.306e-01 1.692e-01 4.414e-05 1.195e-05 1.087e-04 -1.000 2.120e-04 5.296 6.206 5.603 5.267 5.176 5.164 5.168
0.00031003 -1.70000 10.07918 0.6999999881 2.3779266974    0.700 -0.164  3.7816  4.525    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -5.61e-14      0.00 8.354e-01 1.643e-01 4.312e-05 1.168e-05 1.063e-04 -1.000 2.402e-04 5.179 6.062 5.476 5.156 5.073 5.064 5.071
0.00031003 -1.70000 10.07918 0.7014647722 2.3786214560    0.701 -0.156  3.7823  4.521    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -5.73e-14      0.00 8.363e-01 1.635e-01 4.292e-05 1.163e-05 1.058e-04 -1.000 2.462e-04 5.160 6.039 5.455 5.138 5.056 5.048 5.055
0.00031003 -1.70000 10.07918 0.7111073732 2.3831129833    0.711 -0.104  3.7868  4.493    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -6.61e-14      0.00 8.419e-01 1.579e-01 4.164e-05 1.132e-05 1.030e-04 -1.000 2.360e-04 5.031 5.885 5.315 5.014 4.939 4.936 4.944
0.00031003 -1.70000 10.07918 0.7195713520 2.3869416330    0.719 -0.057  3.7907  4.466    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.57e-14      0.00 8.466e-01 1.531e-01 4.056e-05 1.105e-05 1.007e-04 -1.000 2.269e-04 4.911 5.745 5.186 4.899 4.831 4.832 4.841
0.00031003 -1.70000 10.07918 0.7279286385 2.3906217328    0.727 -0.007  3.7945  4.437    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -8.72e-14      0.00 8.510e-01 1.488e-01 3.957e-05 1.081e-05 9.859e-05 -1.000 2.137e-04 4.787 5.603 5.053 4.780 4.717 4.721 4.732
0.00031003 -1.70000 10.07918 0.7351065874 2.3937058175    0.735  0.038  3.7976  4.408    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -9.94e-14      0.00 8.545e-01 1.453e-01 3.880e-05 1.063e-05 9.695e-05 -1.000 2.095e-04 4.675 5.475 4.932 4.670 4.613 4.620 4.632
0.00031003 -1.70000 10.07918 0.7420605421 2.3966283179    0.741  0.084  3.8005  4.378    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-14      0.00 8.576e-01 1.421e-01 3.811e-05 1.046e-05 9.552e-05 -1.000 2.239e-04 4.559 5.346 4.810 4.558 4.505 4.516 4.528
